stock_name,doubling_date,price_at_detection,price_after_lookahead,multiplier,years_of_data,days_to_target
HURJA,2021-06-21,212.5,319.0,1.501,5.0,30
HURJA,2022-11-30,155.5,253.2,1.628,5.0,30
HURJA,2024-07-03,184.5,286.0,1.55,5.0,30
ICFC,2020-09-29,149.65,229.57,1.534,5.0,30
ICFC,2021-04-25,268.4,457.14,1.703,5.0,30
ICFC,2021-06-28,456.28,703.98,1.543,5.0,30
IGI,2020-12-06,363.61,546.08,1.502,5.0,30
IGI,2022-11-24,341.51,515.09,1.508,5.0,30
IGI,2023-04-18,386.7,599.0,1.549,5.0,30
ILBS,2020-12-06,529.45,796.17,1.504,5.0,30
ILBS,2024-03-13,750.0,1186.9,1.583,5.0,30
JBBL,2021-04-21,227.41,358.61,1.577,5.0,30
JFL,2021-04-25,224.35,365.22,1.628,5.0,30
JFL,2021-06-24,371.3,573.91,1.546,5.0,30
JFL,2022-06-23,325.3,498.0,1.531,5.0,30
JFL,2024-06-18,535.0,808.0,1.51,5.0,30
JFL,2024-09-22,576.0,899.0,1.561,5.0,30
JOSHI,2021-04-04,116.97,178.18,1.523,5.0,30
JOSHI,2021-07-05,204.24,320.06,1.567,5.0,30
JOSHI,2022-12-22,149.09,231.45,1.552,5.0,30
JOSHI,2024-01-02,166.61,255.94,1.536,5.0,30
JSLBB,2020-12-08,749.66,1132.41,1.511,5.0,30
JSLBB,2021-03-22,1834.59,2763.13,1.506,5.0,30
KBL,2024-06-16,140.0,222.0,1.586,5.0,30
KDL,2024-04-09,808.9,1240.8,1.534,2.3,30
KKHC,2021-03-30,125.0,194.0,1.552,5.0,30
KKHC,2021-07-01,270.0,418.0,1.548,5.0,30
KKHC,2022-12-20,176.0,267.3,1.519,5.0,30
KKHC,2024-10-17,269.9,428.8,1.589,5.0,30
KMCDB,2020-12-06,478.49,732.24,1.53,5.0,30
KPCL,2021-04-13,183.09,278.18,1.519,5.0,30
KPCL,2021-06-21,271.11,436.85,1.611,5.0,30
KPCL,2022-11-23,229.77,356.84,1.553,5.0,30
KPCL,2023-11-22,260.66,403.74,1.549,5.0,30
KSBBL,2020-09-23,109.97,170.75,1.553,5.0,30
KSBBL,2020-12-28,158.45,249.27,1.573,5.0,30
KSBBL,2021-04-25,256.82,391.28,1.524,5.0,30
KSBBL,2021-07-05,387.5,596.74,1.54,5.0,30
LBBL,2021-04-19,226.18,347.3,1.536,5.0,30
LEC,2024-07-03,153.87,234.67,1.525,4.8,30
LICN,2024-07-04,771.26,1252.28,1.624,5.0,30
LSL,2024-06-13,152.38,230.67,1.514,5.0,30
MAKAR,2023-11-29,253.6,394.3,1.555,2.1,30
MAKAR,2024-06-23,399.5,601.0,1.504,2.1,30
MAKAR,2024-09-24,479.9,750.0,1.563,2.1,30
MBJC,2022-11-30,215.9,324.6,1.503,3.5,30
MBL,2024-06-19,172.0,262.9,1.528,5.0,30
MCHL,2023-11-09,211.7,320.0,1.512,2.0,30
MDB,2021-04-22,247.65,383.26,1.548,5.0,30
MDB,2021-07-06,350.5,539.18,1.538,5.0,30
MEN,2021-06-30,631.38,964.84,1.528,4.5,30
MERO,2020-12-06,494.76,746.3,1.508,5.0,30
MFIL,2020-12-27,229.42,368.57,1.607,5.0,30
MFIL,2021-04-21,378.57,589.29,1.557,5.0,30
MFIL,2024-07-02,541.0,857.0,1.584,5.0,30
MHCL,2023-10-17,203.0,330.6,1.629,2.2,30
MHL,2023-11-07,254.57,399.13,1.568,2.8,30
MHL,2024-06-04,416.19,650.48,1.563,2.8,30
MHNL,2020-10-04,134.0,208.0,1.552,5.0,30
MHNL,2021-04-13,258.0,414.0,1.605,5.0,30
MHNL,2021-06-15,379.0,590.4,1.558,5.0,30
MHNL,2024-07-03,237.2,360.0,1.518,5.0,30
MKHC,2023-11-29,202.3,306.1,1.513,2.3,30
MKHC,2024-10-23,339.0,530.3,1.564,2.3,30
MKHL,2023-11-05,232.0,359.1,1.548,2.1,30
MKJC,2024-05-13,425.0,660.0,1.553,3.7,30
MLBBL,2020-10-13,407.73,615.96,1.511,5.0,30
MLBBL,2020-12-13,608.88,978.56,1.607,5.0,30
MLBBL,2024-03-31,788.71,1187.75,1.506,5.0,30
MLBL,2021-04-25,224.83,344.63,1.533,5.0,30
MLBL,2021-06-30,307.29,485.2,1.579,5.0,30
MLBL,2021-09-16,451.99,686.15,1.518,5.0,30
MLBL,2024-06-30,306.12,461.17,1.507,5.0,30
MLBS,2024-02-20,667.0,1097.8,1.646,3.7,30
MLBS,2024-10-17,1615.0,2500.0,1.548,3.7,30
MNBBL,2021-04-26,280.62,473.17,1.686,5.0,30
MPFL,2021-04-25,163.59,250.11,1.529,5.0,30
MPFL,2021-06-27,257.33,402.19,1.563,5.0,30
MPFL,2022-06-22,191.11,289.63,1.516,5.0,30
MPFL,2024-07-07,517.5,851.8,1.646,5.0,30
NABBC,2021-07-13,400.0,618.7,1.547,4.6,30
NABBC,2024-04-09,420.0,635.0,1.512,4.6,30
NABBC,2024-09-22,612.0,928.0,1.516,4.6,30
NABBC,2024-12-31,936.9,1422.0,1.518,4.6,30
NABIL,2020-11-05,416.37,640.63,1.539,5.0,30
NBL,2024-07-03,216.5,326.0,1.506,5.0,30
NESDO,2022-06-27,1759.3,2739.61,1.557,3.2,30
NFS,2021-04-26,214.12,321.76,1.503,5.0,30
NFS,2021-06-27,300.59,491.18,1.634,5.0,30
NFS,2022-06-23,229.5,349.0,1.521,5.0,30
NFS,2024-03-12,369.0,563.9,1.528,5.0,30
NFS,2024-05-12,532.0,1033.0,1.942,5.0,30
NFS,2024-07-11,836.2,1830.0,2.188,5.0,30
NGPL,2021-06-20,152.78,236.79,1.55,5.0,30
NHDL,2021-01-19,158.06,238.44,1.509,5.0,30
NHDL,2021-04-15,247.24,379.72,1.536,5.0,30
NHDL,2021-06-27,348.91,525.3,1.506,5.0,30
NHDL,2021-12-23,323.11,493.67,1.528,5.0,30
NHPC,2021-04-25,121.08,184.64,1.525,5.0,30
NHPC,2021-07-06,198.14,313.44,1.582,5.0,30
NHPC,2024-06-27,141.0,222.2,1.576,5.0,30
NICA,2020-11-05,402.58,662.02,1.644,5.0,30
NICL,2021-05-11,413.29,632.96,1.532,5.0,30
NICL,2023-05-09,330.21,497.36,1.506,5.0,30
NICL,2023-11-05,436.36,685.81,1.572,5.0,30
NIFRA,2024-06-26,190.3,307.5,1.616,4.4,30
NIL,2020-10-13,412.15,646.17,1.568,5.0,30
NIL,2021-01-03,608.04,914.02,1.503,5.0,30
NIMB,2024-06-13,160.0,240.9,1.506,5.0,30
NLG,2020-12-27,350.83,549.14,1.565,5.0,30
NLG,2022-11-24,274.92,414.03,1.506,5.0,30
NLG,2024-07-21,548.88,832.75,1.517,5.0,30
NLIC,2020-10-28,861.36,1362.36,1.582,5.0,30
